Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
SUM45N25-58,,Single,D2PAK (TO-263),N,250,30,,,,,,,0.062,,0.058,,95,28,34,45,375,2,1.6,image/mosfets/74505.png
SUM50010E,Enlarge,Single,D2PAK (TO-263),N,60,20,,,,,,,,0.0022,0.00175,,141,43.6,19.1,150,375,2,1.2,image/mosfets/74643.png
SUM50010EL,Enlarge,Single,D2PAK (TO-263),N,60,20,,,,,,0.0023,,,0.00173,,192,32,17.5,150,375,1,0.9,image/mosfets/79033.png
SUM55P06-19L,,Single,D2PAK (TO-263),P,-60,20,,,,,,0.025,,,0.019,,76,16,19,55,125,1,5.2,image/mosfets/66964.png
SUM60020E,Enlarge,Single,D2PAK (TO-263),N,80,20,,,,,,,,0.00247,0.0021,,151.2,48.4,24,150,375,2,1.7,image/mosfets/76965.png
SUM60030E,Enlarge,Single,D2PAK (TO-263),N,80,20,,,,,,,,0.0034,0.0032,,94,31,10,120,375,2,1.4,image/mosfets/79578.png
SUM60061EL,Enlarge,Single,TO-263,P,-80,20,,,,,,0.0086,,,0.0061,,145,34,16,-150,375,-1.5,2.3,image/mosfets/62261.png
SUM60N10-17,,Single,D2PAK (TO-263),N,100,20,,,,,,,0.019,,0.0165,,65,25,19,60,150,2,1.5,image/mosfets/68633.png
SUM65N20-30,,Single,D2PAK (TO-263),N,200,20,,,,,,,,,0.03,,90,23,34,65,375,2,,image/mosfets/77056.png
SUM70030E,Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,0.00348,0.00288,,142.4,46.8,18.5,150,375,2,1.7,image/mosfets/68293.png
SUM70030M,Enlarge,Single,D2PAK (TO-263-7L),N,100,20,,,,,,,,0.0037,0.0035,,142.4,46.8,18.5,150,375,2,1.7,image/mosfets/63020.png
SUM70040M,Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,0.0046,0.0038,,76,23,17,120,375,2.5,3.3,image/mosfets/76678.png
SUM70042E,Enlarge,Single,TO-263,N,100,20,,,,,,,,0.0045,0.004,,84,33.5,9.5,150,278,2,1.3,image/mosfets/63051.png
SUM70042M,Enlarge,Single,D2PAK (TO-263-7L),N,100,20,,,,,,,,0.0045,0.00383,,84,35,9,150,375,2,1.5,image/mosfets/65382.png
SUM70060E,Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,0.0062,0.0056,,53.5,14.5,13.2,131,375,2,1.9,image/mosfets/65436.png
SUM70090E,Enlarge,Single,D2PAK (TO-263),N,100,20,,,,,,,,0.0093,0.0089,,33,8.8,7.5,50,125,2,3.5,image/mosfets/77632.png
SUM70101EL,Enlarge,Single,D2PAK (TO-263),P,-100,20,,,,,,0.015,,,0.0101,,125,29,30,-120,375,-1.5,6.5,image/mosfets/65384.png
SUM80090E,Enlarge,Single,D2PAK (TO-263),N,150,20,,,,,,,,0.0105,0.009,,63,19.5,20.5,128,375,2,3,image/mosfets/63034.png
SUM85N15-19,,Single,D2PAK (TO-263),N,150,20,,,,,,,,,0.019,,76,21,26,85,375,2,,image/mosfets/79036.png
SUM90100E,Enlarge,Single,TO-263,N,200,20,,,,,,,,0.0129,0.0114,,72.8,19.4,19,150,375,2,3.5,image/mosfets/75002.png
SUM90140E,Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,0.018,0.017,,64,16.7,16.9,90,375,2,3,image/mosfets/75261.png
SUM90142E,Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,0.0165,0.015,,58,17.6,17.2,90,375,2,3,image/mosfets/74528.png
