Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
IRFPC60,Enlarge,Single,TO-247AC,N,600,20,,,,,,,,,0.4,,210,26,110,16,280,2,,image/mosfets/91254.png
IRFPC60LC,Enlarge,Single,TO-247AC,N,600,30,,,,,,,,,0.4,,120,29,48,16,280,2,,image/mosfets/91420.png
IRFPE30,Enlarge,Single,TO-247AC,N,800,20,,,,,,,,,3,,78,9.6,45,4.1,125,2,,image/mosfets/91263.png
IRFPE50,Enlarge,Single,TO-247AC,N,800,20,,,,,,,,,1.2,,200,24,110,7.8,190,2,,image/mosfets/91263.png
IRFPF30,Enlarge,Single,TO-247AC,N,900,20,,,,,,,,,3.7,,78,10,42,3.6,125,2,,image/mosfets/90335.png
IRFPF50,Enlarge,Single,TO-247AC,N,900,20,,,,,,,,,1.6,,200,24,110,6.7,190,2,,image/mosfets/90335.png
IRFPG30,Enlarge,Single,TO-247AC,N,1000,20,,,,,,,,,5,,80,10,42,3.1,125,2,,image/mosfets/91264.png
IRFPG40,Enlarge,Single,TO-247AC,N,1000,20,,,,,,,,,3.5,,120,16,65,4.3,150,2,,image/mosfets/91264.png
IRFPG50,Enlarge,Single,TO-247AC,N,1000,20,,,,,,,,,2,,190,23,110,6.1,190,2,,image/mosfets/91265.png
"IRFR010, SiHFR010",Enlarge,Single,DPAK (TO-252),N,50,20,,,,,,,,,0.2,,6.7,1.8,3.2,8.2,25,2,,image/mosfets/91266.png
"IRFR014, IRFU014, SiHFR014, SiHFU014",Enlarge,Single,IPAK (TO-251),N,60,20,,,,,,,,,0.2,,11,3.1,5.8,7.7,25,2,,image/mosfets/91266.png
"IRFR014, IRFU014, SiHFR014, SiHFU014",Enlarge,Single,DPAK (TO-252),N,60,20,,,,,,,,,0.2,,11,3.1,5.8,7.7,25,2,,image/mosfets/91267.png
"IRFR020, IRFU020, SiHFR020, SiHFU020",Enlarge,Single,IPAK (TO-251),N,60,20,,,,,,,,,0.1,,25,5.8,11,14,42,2,,image/mosfets/91267.png
"IRFR020, IRFU020, SiHFR020, SiHFU020",Enlarge,Single,DPAK (TO-252),N,60,20,,,,,,,,,0.1,,25,5.8,11,14,42,2,,image/mosfets/91268.png
"IRFR024, IRFU024, SiHFR024, SiHFU024",Enlarge,Single,DPAK (TO-252),N,60,20,,,,,,,,,0.1,,25,5.8,11,14,42,2,,image/mosfets/91268.png
"IRFR024, IRFU024, SiHFR024, SiHFU024",Enlarge,Single,IPAK (TO-251),N,60,20,,,,,,,,,0.1,,25,5.8,11,14,42,2,,image/mosfets/91270.png
"IRFR110, SiHFR110",Enlarge,Single,DPAK (TO-252),N,100,20,,,,,,,,,0.54,,8.3,2.3,3.8,4.3,25,2,,image/mosfets/91270.png
"IRFR120, IRFU120, SiHFR120, SiHFU120",Enlarge,Single,IPAK (TO-251),N,100,20,,,,,,,,,0.27,,16,4.4,7.7,7.7,42,2,,image/mosfets/91272.png
"IRFR120, IRFU120, SiHFR120, SiHFU120",Enlarge,Single,DPAK (TO-252),N,100,20,,,,,,,,,0.27,,16,4.4,7.7,7.7,42,2,,image/mosfets/91272.png
"IRFR1N60A, IRFU1N60A, SiHFR1N60A, SiHFU1N60A",Enlarge,Single,IPAK (TO-251),N,600,30,,,,,,,,,7,,14,2.7,8.1,1.4,36,2,,image/mosfets/91273.png
"IRFR1N60A, IRFU1N60A, SiHFR1N60A, SiHFU1N60A",Enlarge,Single,DPAK (TO-252),N,600,30,,,,,,,,,7,,14,2.7,8.1,1.4,36,2,,image/mosfets/91273.png
"IRFR210, IRFU210, SiHFR210, SiHFU210",Enlarge,Single,DPAK (TO-252),N,200,20,,,,,,,,,1.5,,8.2,1.8,4.5,2.6,25,2,,image/mosfets/91275.png
"IRFR210, IRFU210, SiHFR210, SiHFU210",Enlarge,Single,IPAK (TO-251),N,200,20,,,,,,,,,1.5,,8.2,1.8,4.5,2.6,25,2,,image/mosfets/91275.png
"IRFR220, IRFU220, SiHFR220, SiHFU220",Enlarge,Single,DPAK (TO-252),N,200,20,,,,,,,,,0.8,,14,3,7.9,4.8,42,2,,image/mosfets/91274.png
"IRFR220, IRFU220, SiHFR220, SiHFU220",Enlarge,Single,IPAK (TO-251),N,200,20,,,,,,,,,0.8,,14,3,7.9,4.8,42,2,,image/mosfets/91274.png
"IRFR310, IRFU310, SiHFR310, SiHFU310",Enlarge,Single,IPAK (TO-251),N,400,20,,,,,,,,,3.6,,12,1.9,6.5,1.7,25,2,,image/mosfets/91276.png
"IRFR310, IRFU310, SiHFR310, SiHFU310",Enlarge,Single,DPAK (TO-252),N,400,20,,,,,,,,,3.6,,12,1.9,6.5,1.7,25,2,,image/mosfets/91276.png
"IRFR320, IRFU320, SiHFR320, SiHFU320",Enlarge,Single,IPAK (TO-251),N,400,20,,,,,,,,,1.8,,20,3.3,11,3.1,42,2,,image/mosfets/91378.png
"IRFR320, IRFU320, SiHFR320, SiHFU320",Enlarge,Single,DPAK (TO-252),N,400,20,,,,,,,,,1.8,,20,3.3,11,3.1,42,2,,image/mosfets/91378.png
"IRFR420, IRFU420, SiHFR420, SiHFU420",Enlarge,Single,IPAK (TO-251),N,500,20,,,,,,,,,3,,19,3.3,13,2.4,42,2,,image/mosfets/91277.png
"IRFR420, IRFU420, SiHFR420, SiHFU420",Enlarge,Single,DPAK (TO-252),N,500,20,,,,,,,,,3,,19,3.3,13,2.4,42,2,,image/mosfets/91277.png
"IRFR420A, IRFU420A, SiHFR420A, SiHFU420A",Enlarge,Single,IPAK (TO-251),N,500,30,,,,,,,,,3,,17,4.3,8.5,3.3,83,2,,image/mosfets/90350.png
"IRFR420A, IRFU420A, SiHFR420A, SiHFU420A",Enlarge,Single,DPAK (TO-252),N,500,30,,,,,,,,,3,,17,4.3,8.5,3.3,83,2,,image/mosfets/90350.png
"IRFR430A, IRFU430A, SiHFR430A, SiHFU430A",Enlarge,Single,IPAK (TO-251),N,500,30,,,,,,,,,1.7,,24,6.5,13,5,110,2,,image/mosfets/91278.png
"IRFR430A, IRFU430A, SiHFR430A, SiHFU430A",Enlarge,Single,DPAK (TO-252),N,500,30,,,,,,,,,1.7,,24,6.5,13,5,110,2,,image/mosfets/91278.png
"IRFR9010, IRFU9010, SiHFR9010, SiHFU9010",Enlarge,Single,IPAK (TO-251),P,-50,20,,,,,,,,,0.5,,6.1,2,3.9,-5.3,25,-2,,image/mosfets/91279.png
"IRFR9010, IRFU9010, SiHFR9010, SiHFU9010",Enlarge,Single,DPAK (TO-252),P,-50,20,,,,,,,,,0.5,,6.1,2,3.9,-5.3,25,-2,,image/mosfets/91279.png
"IRFR9014, IRFU9014, SiHFR9014, SiHFU9014",Enlarge,Single,DPAK (TO-252),P,-60,20,,,,,,,,,0.5,,12,3.8,5.1,-5.1,25,-2,,image/mosfets/91280.png
"IRFR9014, IRFU9014, SiHFR9014, SiHFU9014",Enlarge,Single,IPAK (TO-251),P,-60,20,,,,,,,,,0.5,,12,3.8,5.1,-5.1,25,-2,,image/mosfets/91280.png
"IRFR9020, IRFU9020, SiHFR9020, SiHFU9020",Enlarge,Single,DPAK (TO-252),P,-50,20,,,,,,,,,0.28,,9.4,4.3,4.3,-9.9,42,-2,,image/mosfets/91281.png
"IRFR9020, IRFU9020, SiHFR9020, SiHFU9020",Enlarge,Single,IPAK (TO-251),P,-50,20,,,,,,,,,0.28,,9.4,4.3,4.3,-9.9,42,-2,,image/mosfets/91281.png
"IRFR9024, IRFU9024, SiHFR9024, SiHFU9024",Enlarge,Single,IPAK (TO-251),P,-60,20,,,,,,,,,0.28,,19,5.4,11,-8.8,42,-2,,image/mosfets/91282.png
"IRFR9024, IRFU9024, SiHFR9024, SiHFU9024",Enlarge,Single,DPAK (TO-252),P,-60,20,,,,,,,,,0.28,,19,5.4,11,-8.8,42,-2,,image/mosfets/91282.png
"IRFR9110, IRFU9110, SiHFR9110, SiHFU9110",Enlarge,Single,IPAK (TO-251),P,-100,20,,,,,,,,,1.2,,8.7,2.2,4.1,-3.1,25,-2,,image/mosfets/91283.png
"IRFR9110, IRFU9110, SiHFR9110, SiHFU9110",Enlarge,Single,DPAK (TO-252),P,-100,20,,,,,,,,,1.2,,8.7,2.2,4.1,-3.1,25,-2,,image/mosfets/91283.png
"IRFR9120, IRFU9120, SiHFR9120, SiHFU9120",Enlarge,Single,IPAK (TO-251),P,-100,20,,,,,,,,,0.6,,18,3,9,-5.6,42,-2,,image/mosfets/91284.png
"IRFR9120, IRFU9120, SiHFR9120, SiHFU9120",Enlarge,Single,DPAK (TO-252),P,-100,20,,,,,,,,,0.6,,18,3,9,-5.6,42,-2,,image/mosfets/91284.png
"IRFR9210, IRFU9210, SiHFR9210, SiHFU9210",Enlarge,Single,DPAK (TO-252),P,-200,20,,,,,,,,,3,,8.9,2.1,3.9,-1.9,25,-2,,image/mosfets/91285.png
"IRFR9210, IRFU9210, SiHFR9210, SiHFU9210",Enlarge,Single,IPAK (TO-251),P,-200,20,,,,,,,,,3,,8.9,2.1,3.9,-1.9,25,-2,,image/mosfets/91285.png
"IRFR9214, IRFU9214, SiHFR9214, SiHFU9214",Enlarge,Single,DPAK (TO-252),P,-250,20,,,,,,,,,3,,14,3.1,6.8,-2.7,50,-2,,image/mosfets/91286.png
"IRFR9214, IRFU9214, SiHFR9214, SiHFU9214",Enlarge,Single,IPAK (TO-251),P,-250,20,,,,,,,,,3,,14,3.1,6.8,-2.7,50,-2,,image/mosfets/91287.png
"IRFR9220, IRFU9220, SiHFR9220, SiHFU9220",Enlarge,Single,IPAK (TO-251),P,-200,20,,,,,,,,,1.5,,20,3.3,11,-3.6,42,-2,,image/mosfets/91288.png
"IRFR9220, IRFU9220, SiHFR9220, SiHFU9220",Enlarge,Single,DPAK (TO-252),P,-200,20,,,,,,,,,1.5,,20,3.3,11,-3.6,42,-2,,image/mosfets/90362.png
"IRFR9310, IRFU9310, SiHFR9310, SiHFU9310",Enlarge,Single,IPAK (TO-251),P,-400,20,,,,,,,,,7,,13,3.2,5,-1.8,50,-2,,image/mosfets/91397.png
"IRFR9310, IRFU9310, SiHFR9310, SiHFU9310",Enlarge,Single,DPAK (TO-252),P,-400,20,,,,,,,,,7,,13,3.2,5,-1.8,50,-2,,image/mosfets/90363.png
"IRFRC20, IRFUC20, SiHFRC20, SiHFUC20",Enlarge,Single,IPAK (TO-251),N,600,20,,,,,,,,,4.4,,18,3,8.9,2,42,2,,image/mosfets/91289.png
"IRFRC20, IRFUC20, SiHFRC20, SiHFUC20",Enlarge,Single,DPAK (TO-252),N,600,20,,,,,,,,,4.4,,18,3,8.9,2,42,2,,image/mosfets/90365.png
"IRFS11N50A, SiHFS11N50A",Enlarge,Single,D2PAK (TO-263),N,500,30,,,,,,,,,0.52,,52,13,18,11,170,2,,image/mosfets/90365.png
"IRFS9N60A, SiHFS9N60A",Enlarge,Single,D2PAK (TO-263),N,600,30,,,,,,,,,0.75,,49,13,20,9.2,170,2,,image/mosfets/91340.png
"IRFSL11N50A, SiHFSL11N50A",Enlarge,Single,I2PAK (TO-262),N,500,30,,,,,,,,,0.55,,51,12,23,11,190,2,,image/mosfets/91406.png
"IRFSL9N60A, SiHFSL9N60A",Enlarge,Single,I2PAK (TO-262),N,600,30,,,,,,,,,0.75,,49,13,20,9.2,170,2,,image/mosfets/90366.png
"IRFU110, SiHFU110",Enlarge,Single,IPAK (TO-251),N,100,20,,,,,,,,,0.54,,8.3,2.3,3.8,4.3,25,2,,image/mosfets/91385.png
IRFZ10,Enlarge,Single,TO-220AB,N,60,20,,,,,,,,,0.2,,11,3.1,5.8,10,43,2,,image/mosfets/91291.png
IRFZ14,Enlarge,Single,TO-220AB,N,60,20,,,,,,,,,0.2,,11,3.1,5.8,10,43,2,,image/mosfets/91292.png
"IRFZ14S, SiHFZ14S, SiHFZ14L",Enlarge,Single,I2PAK (TO-262),N,60,20,,,,,,,,,0.2,,11,3.1,5.8,10,43,2,,image/mosfets/91293.png
"IRFZ14S, SiHFZ14S, SiHFZ14L",Enlarge,Single,D2PAK (TO-263),N,60,20,,,,,,,,,0.2,,11,3.1,5.8,10,43,2,,image/mosfets/91293.png
IRFZ20,Enlarge,Single,TO-220AB,N,50,20,,,,,,,,,0.1,,12,9,3,15,40,2,,image/mosfets/91294.png
IRFZ24,Enlarge,Single,TO-220AB,N,60,20,,,,,,,,,0.1,,25,5.8,11,17,60,2,,image/mosfets/91295.png
"IRFZ24S, SiHFZ24S",Enlarge,Single,D2PAK (TO-263),N,60,20,,,,,,,,,0.1,,25,5.8,11,17,60,2,,image/mosfets/91296.png
IRFZ40,Enlarge,Single,TO-220AB,N,60,20,,,,,,,,,0.028,,67,18,25,50,150,2,,image/mosfets/91297.png
IRFZ44,Enlarge,Single,TO-220AB,N,60,20,,,,,,,,,0.028,,67,18,25,50,150,2,,image/mosfets/90380.png
IRFZ44R,Enlarge,Single,TO-220AB,N,60,20,,,,,,,,,0.028,,67,18,25,50,150,2,,image/mosfets/91305.png
"IRFZ44S, IRFZ44L, SiHFZ44S, SiHFZ44L",Enlarge,Single,I2PAK (TO-262),N,60,20,,,,,,,,,0.028,,67,18,25,50,3.7,2,,image/mosfets/91306.png
"IRFZ44S, IRFZ44L, SiHFZ44S, SiHFZ44L",Enlarge,Single,D2PAK (TO-263),N,60,20,,,,,,,,,0.028,,67,18,25,50,3.7,2,,image/mosfets/91314.png
IRFZ48,Enlarge,Single,TO-220AB,N,60,20,,,,,,,,,0.018,,110,29,36,50,190,2,,image/mosfets/91315.png
IRFZ48R,Enlarge,Single,TO-220AB,N,60,20,,,,,,,,,0.018,,110,29,36,50,190,2,,image/mosfets/91318.png
"IRFZ48RS, SiHFZ48RS",Enlarge,Single,D2PAK (TO-263),N,60,20,,,,,,,,,0.018,,110,29,36,50,190,2,,image/mosfets/91319.png
IRL510,Enlarge,Single,TO-220AB,N,100,10,,,,,,,,,,,,2.6,3.3,5.6,43,1,,image/mosfets/91320.png
"IRL510S, SiHL510S",Enlarge,Single,D2PAK (TO-263),N,100,10,,,,,,,,,,,,2.6,3.3,5.6,43,1,,image/mosfets/91321.png
IRL640,Enlarge,Single,TO-220AB,N,200,10,,,,,,,,,,,,9,38,17,125,1,,image/mosfets/91321.png
"IRL640S, SiHL640S",Enlarge,Single,D2PAK (TO-263),N,200,10,,,,,,,,,,,,9,38,17,125,1,,image/mosfets/91323.png
IRLI640G,Enlarge,Single,TO-220 FULLPAK,N,200,10,,,,,,,,,,,66,9,38,9.9,40,1,,image/mosfets/91323.png
IRLIZ14G,Enlarge,Single,TO-220 FULLPAK,N,60,10,,,,,,,,,,,,3.5,6,8,27,1,,image/mosfets/91325.png
IRLIZ44G,Enlarge,Single,TO-220 FULLPAK,N,60,10,,,,,,,,,,,,12,43,30,48,1,,image/mosfets/90414.png
"IRLL014, SiHLL014",Enlarge,Single,SOT-223,N,60,10,,,,,,,,,,,,3.5,6,2.7,3.1,1,,image/mosfets/91328.png
"IRLL110, SiHLL110",Enlarge,Single,SOT-223,N,100,10,,,,,,,,,,,,2.6,3.3,1.5,3.1,1,,image/mosfets/91329.png
"IRLR014, IRLU014, SiHLR014, SiHLU014",Enlarge,Single,IPAK (TO-251),N,60,10,,,,,,,,,,,,3.5,6,7.7,25,1,,image/mosfets/62490.png
"IRLR014, IRLU014, SiHLR014, SiHLU014",Enlarge,Single,DPAK (TO-252),N,60,10,,,,,,,,,,,,3.5,6,7.7,25,1,,image/mosfets/63056.png
"IRLR110, IRLU110, SiHLR110, SiHLU110",Enlarge,Single,DPAK (TO-252),N,100,10,,,,,,,,,,,,2,3.3,4.3,25,1,,image/mosfets/62488.png
"IRLR110, IRLU110, SiHLR110, SiHLU110",Enlarge,Single,IPAK (TO-251),N,100,10,,,,,,,,,,,,2,3.3,4.3,25,1,,image/mosfets/63057.png
IRLZ14,Enlarge,Single,TO-220AB,N,60,10,,,,,,,,,,,,3.5,6,10,43,1,,image/mosfets/68494.png
"IRLZ14S, SiHLZ14S",Enlarge,Single,D2PAK (TO-263),N,60,10,,,,,,,,,,,,3.5,6,10,43,1,,image/mosfets/67048.png
IRLZ44,Enlarge,Single,TO-220AB,N,60,10,,,,,,,,,,,,12,43,50,150,1,,image/mosfets/65884.png
"IRLZ44S, SiHLZ44S",Enlarge,Single,D2PAK (TO-263),N,60,10,,,,,,,,,,,,12,43,50,150,1,,image/mosfets/75570.png
SIJ4409DP,Enlarge,Single,PowerPAK&#174; SO-8L,P,-40,20,,,,,,0.0122,,,0.0096,38.1,84,14,12.2,-43.6,32.8,-1,2.2,image/mosfets/67108.png
SIR5102DP,Enlarge,Single,PowerPAK SO-8,N,100,20,,,,,,,,0.0056,0.0041,,33.7,15.7,1.7,110,104,2,1.15,image/mosfets/62993.png
SIR5208DP,Enlarge,Single,PowerPAK SO-8,N,20,8,,,,0.00265,,0.0014,,,,24.6,45,8.8,2,165,56.8,0.4,0.96,image/mosfets/62993.png
SIR5802DP,Enlarge,Single,PowerPAK SO-8,N,80,20,,,,,,,,0.004,0.0029,,37.3,16.5,3.2,137.5,104,2,1.1,image/mosfets/62986.png
SQ1421EDH,Enlarge,Single,SC-70,P,-60,20,,,,,,0.395,,,0.29,3.6,,1.2,1.7,-1.6,2.7,-1.5,6.05,image/mosfets/62986.png
SQ1431EH,Enlarge,Single,SC-70,P,-30,20,,,,,,0.3,,,0.175,4.2,,0.7,1,-3,3,-1,12.5,image/mosfets/62977.png
SQ1440EH,Enlarge,Single,SC-70,N,60,20,,,,,,0.15,,,0.12,,4.4,0.7,1.3,1.7,3.3,1.5,4.1,image/mosfets/62983.png
SQ1464EEH,Enlarge,Single,SC-70,N,60,8,,1.41,,,,4.1,,,,2.7,,0.25,0.35,0.44,0.43,0.45,9,image/mosfets/67394.png
SQ1470AEH,Enlarge,Single,SC-70,N,30,12,,,,0.095,,0.065,,,,4.2,,1.1,0.7,1.7,3.3,0.6,3.8,image/mosfets/76699.png
SQ1539EH,Enlarge,N- and p-pair,SC-70,P,-30,20,,,,,,1.8,,,0.94,1.2,,0.3,0.6,-0.85,1.5,-1,0,image/mosfets/75204.png
SQ1539EH,Enlarge,N- and p-pair,SC-70,N,30,20,,,,,,0.38,,,0.28,1,,0.2,0.4,0.85,1.5,1,0,image/mosfets/62454.png
SQ1563AEH,Enlarge,N- and p-pair,SC-70,N,20,8,,,0.45,0.36,,0.28,,,,0.93,,0.16,0.38,0.85,1.5,0.45,3.8,image/mosfets/66718.png
SQ1563AEH,Enlarge,N- and p-pair,SC-70,P,-20,8,,,1.5,1.3,,0.575,,,,1,,0.15,0.44,-0.85,1.5,-0.45,3.1,image/mosfets/67023.png
SQ1902AEL,Enlarge,Dual,SC-70,N,20,12,,,,0.6,,0.415,,,,0.7,,0.1,0.1,0.78,0.43,0.6,9.1,image/mosfets/63877.png
SQ1912AEEH,Enlarge,Dual,SC-70,N,20,12,,,0.45,0.36,,0.28,,,,1,,0.14,0.27,0.8,1.5,0.45,3,image/mosfets/62166.png
SQ1912EH,Enlarge,Dual,SC-70,N,20,8,,,0.45,0.36,,0.28,,,,0.76,,0.13,0.33,0.8,1.5,0.45,11.1,image/mosfets/62211.png
SQ1922AEEH,Enlarge,Dual,SC-70,N,20,12,,,,,,0.3,,,,0.9,,0.5,0.3,0.85,1.5,1.5,8.5,image/mosfets/62145.png
SQ1922EEH,Enlarge,Dual,SC-70,N,20,12,,,,0.6,,0.35,,,,0.7,,0.2,0.2,0.84,1.5,0.5,9,image/mosfets/62255.png
SQ2301CES,Enlarge,Single,SOT-23,P,-20,8,,,,0.18,,0.12,,,,5.4,,0.81,1.75,-3.9,3,-0.45,6,image/mosfets/71507.png
SQ2301ES,Enlarge,Single,SOT-23,P,-20,8,,,,0.18,,0.12,,,,5,,0.7,1.3,-3.9,3,-0.45,10,image/mosfets/62470.png
SQ2303ES,Enlarge,Single,SOT-23,P,-30,20,,,,,,0.37,,,0.17,,4.5,0.8,1.1,-2.5,1.9,-1.5,12.08,image/mosfets/76397.png
SQ2308CES,Enlarge,Single,SOT-23,N,60,20,,,,,,0.164,,,0.15,,3.5,0.6,0.7,2.3,2,1.5,5.84,image/mosfets/62475.png
SQ2308FES,Enlarge,Single,SOT-23,N,60,20,,,,,,0.164,,,0.15,,3.6,0.7,0.6,2.3,2,1.5,5.84,image/mosfets/67847.png
SQ2309CES,Enlarge,Single,SOT-23,P,-60,20,,,,,,0.5,,,0.37,,5.5,0.8,1.3,-1.7,2,-1.5,5.4,image/mosfets/62457.png
SQ2310CES,Enlarge,Single,SOT-23,N,20,8,,,0.038,0.034,,0.03,,,,4.95,,0.65,0.93,6,2,0.4,9.4,image/mosfets/66717.png
SQ2315CES,Enlarge,Single,SOT-23,P,-12,8,,,0.1,0.068,,0.05,,,,9.3,,1.4,3,-5,2,-0.45,4.9,image/mosfets/62082.png
SQ2315ES,Enlarge,Single,SOT-23,P,-12,8,,,0.1,0.068,,0.05,,,,9,,1,2.4,-5,2,-0.45,4.9,image/mosfets/62245.png
SQ2318CES,Enlarge,Single,SOT-23,N,40,20,,,,,,0.036,,,0.031,,8.9,1.7,1.4,7,3,1.5,2.7,image/mosfets/66716.png
SQ2319ADS,Enlarge,Single,SOT-23,P,-40,20,,,,,,0.145,,,0.075,,10.5,1.4,2.7,-4.6,2.5,-1.5,4.3,image/mosfets/62349.png
SQ2319CES,Enlarge,Single,SOT-23,P,-40,20,,,,,,0.145,,,0.075,,11,2.1,2.6,-4.6,3,-1.5,4.4,image/mosfets/62350.png
SQ2325ES,Enlarge,Single,SOT-23,P,-150,20,,,,,,,,,1.77,,7.4,1.1,2.9,-0.84,3,-2.5,3.9,image/mosfets/62424.png
SQ2337CES,Enlarge,Single,SOT-23,P,-80,20,,,,,,,0.314,,0.29,,,1.6,2.2,-2.2,3,-1.5,4.2,image/mosfets/75975.png
SQ2337ES,Enlarge,Single,SOT-23,P,-80,20,,,,,,,0.314,,0.29,,11.5,1.9,3.3,-2.2,3,-1.5,4.43,image/mosfets/62212.png
SQ2348CES,Enlarge,Single,SOT-23,N,30,20,,,,,,0.032,,,0.024,,8.15,1.65,1.25,8,3,1.5,13,image/mosfets/75141.png
SQ2351CES,Enlarge,Single,SOT-23,P,-20,12,,,,0.205,,0.115,,,,3.4,,0.6,1.1,-3.2,2,-0.6,6,image/mosfets/67117.png
SQ2351ES,Enlarge,Single,SOT-23,P,-20,12,,,,0.205,,0.115,,,,3.4,,0.6,1.1,-3.2,2,-0.6,9.6,image/mosfets/67342.png
SQ2361CEES,Enlarge,Single,SOT-23,P,-60,20,,,,,,0.23,,,0.17,,10,1.5,5,-2.8,2,-1.5,4.3,image/mosfets/63412.png
SQ2361CES,Enlarge,Single,SOT-23,P,-60,20,,,,,,0.246,,,0.177,,9,1.6,3.3,-2.8,2,-1.5,4.1,image/mosfets/65332.png
SQ2362CES,Enlarge,Single,SOT-23,N,60,20,,,,,,0.075,,,0.068,,8.1,1.6,1,4.3,3,1.5,2.7,image/mosfets/62368.png
SQ2364EES,Enlarge,Single,SOT-23,N,60,8,,0.245,,,,0.24,,,,2,,0.3,0.6,2,3,0.46,4.1,image/mosfets/62373.png
SQ2389CES,Enlarge,Single,SOT-23,P,-40,20,,,,,,0.188,,,0.094,,8.2,1.1,3,-4.1,3,-1.5,4.1,image/mosfets/62147.png
SQ2391ES,Enlarge,Single,SOT-23,P,-20,12,,,,0.215,,0.125,,,,3.4,,0.6,1.1,-3.1,2,-0.6,9.6,image/mosfets/62059.png
SQ2398ES,Enlarge,Single,SOT-23,N,100,20,,,,,,,,,0.3,,2.3,0.7,1.1,1.6,2,2.5,5.8,image/mosfets/65333.png
SQ3410EV,Enlarge,Single,TSOP-6,N,30,20,,,,,,0.0213,,,0.0175,,14,2.4,2.2,8,5,1.5,3.91,image/mosfets/62254.png
SQ3418EV,Enlarge,Single,TSOP-6,N,40,20,,,,,,0.042,,,0.032,,8.5,1.1,2,8,5,1.5,2,image/mosfets/62369.png
SQ3419AEEV,Enlarge,Single,TSOP-6,P,-40,12,,,,,,0.093,,,0.061,8.4,,2.4,4.1,-6.9,5,-1.5,5.3,image/mosfets/62060.png
SQ3419CEV,Enlarge,Single,TSOP-6,P,-40,20,,,,,,0.092,,,0.058,8.35,,2.9,4,-6.9,5,-1.5,5.7,image/mosfets/66715.png
SQ3425CEV,Enlarge,Single,TSOP-6,P,-20,12,,,,0.1,,0.06,,,,7.4,,1.5,2.7,-7.4,5,-0.6,6.3,image/mosfets/67037.png
SQ3426CEEV,Enlarge,Single,TSOP-6,N,60,20,,,,,,0.063,,,0.042,,13,2.6,1.9,7,5,1.5,3.83,image/mosfets/62994.png
SQ3426CEV,Enlarge,Single,TSOP-6,N,60,20,,,,,,0.063,,,0.042,6.8,,2.9,2,7,5,1.5,3.1,image/mosfets/67401.png
SQ3427AEEV,Enlarge,Single,TSOP-6,P,-60,20,,,,,,0.135,,,0.095,,15.3,2.5,5.4,-5.3,5,-1.5,5.4,image/mosfets/62288.png
SQ3427CEEV,Enlarge,Single,TSOP-6,P,-60,20,,,,,,0.135,,,0.095,,15.3,2.5,5.4,-5.3,5,-1.5,5.4,image/mosfets/77089.png
SQ3427CEV,Enlarge,Single,TSOP-6,P,-60,20,,,,,,0.135,,,0.095,,16.9,2.9,4.1,-5.3,5,-1.5,5,image/mosfets/77077.png
SQ3456CEV,Enlarge,Single,TSOP-6,N,30,20,,,,,,0.052,,,0.035,,6,1.2,1,7.8,4,1.5,6.65,image/mosfets/75126.png
SQ3457EV,Enlarge,Single,TSOP-6,P,-30,20,,,,,,0.1,,,0.065,,14,2.1,3,-6.8,5,-1.5,6.5,image/mosfets/75126.png
SQ3460EV,Enlarge,Single,TSOP-6,N,20,8,,,0.038,0.034,,0.03,,,,9.3,,1.1,1.4,8,3.6,0.4,12.4,image/mosfets/63249.png
SQ3461EV,Enlarge,Single,TSOP-6,P,-12,8,,,0.043,0.032,,0.025,,,,21,,2.5,7,-8,5,-0.4,5.7,image/mosfets/75315.png
SQ3469EV,Enlarge,Single,TSOP-6,P,-20,20,,,,,,0.064,,,0.036,,17.7,2.9,3.9,-8,5,-1.5,0,image/mosfets/75059.png
SQ3481CEV,Enlarge,Single,TSOP-6,P,-30,20,,,,,,0.07,,,0.043,,15.5,3,3.9,-7.5,4,-1.5,6.6,image/mosfets/64454.png
SQ3493EV,Enlarge,Single,TSOP-6,P,-20,12,,,,0.032,,0.021,,,,22.7,,4.5,6.4,-8,5,-0.6,5.9,image/mosfets/62659.png
SQ3495EV,Enlarge,Single,TSOP-6,P,-30,12,,,,0.034,,0.021,,,,29,,5.7,8.4,-8,5,-0.6,5.6,image/mosfets/62842.png
SQ3585EV,Enlarge,N- and p-pair,TSOP-6 Dual,N,20,12,,,,0.12,,0.077,,,,1.8,,0.3,0.4,3.57,1.67,0.6,0,image/mosfets/71158.png
SQ3585EV,Enlarge,N- and p-pair,TSOP-6 Dual,P,-20,12,,,,0.318,,0.166,,,,2.4,,0.4,0.7,-2.5,1.67,-0.6,0,image/mosfets/66897.png
