Part Number▲▼,Product Image,Rev. Voltage(V)▲▼,IF(AV)(A)▲▼,VFat IF▲▼,IFSM(A)▲▼,trr(ns)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,CircuitConfiguration▲▼,AEC-Q101 Qualified▲▼,Image path
VS-E4PH6006L-N3,Enlarge,600,60,1.48,425,see datasheet,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/95898.png
VS-E4PH6006LHN3,Enlarge,600,60,1.48,425,see datasheet,175,TO-247AD 2L,Single die,Yes,image/diodes/ultrafast-recovery/95943.png
VS-E4PU3006L-N3,Enlarge,600,30,1.19,240,see datasheet,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/95899.png
VS-E4PU3006LHN3,Enlarge,600,30,1.19,240,see datasheet,175,TO-247AD 2L,Single die,Yes,image/diodes/ultrafast-recovery/95929.png
VS-E4PU6006L-N3,Enlarge,600,60,1.29,450,see datasheet,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/95900.png
VS-E4PU6006LHN3,Enlarge,600,60,1.29,450,see datasheet,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/95940.png
VS-E4TU2006FP-N3,Enlarge,600,20,1.26,190,61,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96422.png
VS-E5PH3006L-N3,Enlarge,600,30,1.15,330,25,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96623.png
VS-E5PH3006LHN3,Enlarge,600,30,1.15,330,25,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96763.png
VS-E5PH3012L-N3,Enlarge,1200,30,1.7,250,32,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96501.png
VS-E5PH3012LHN3,Enlarge,1200,30,1.7,240,32,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96765.png
VS-E5PH6006L-N3,Enlarge,600,60,1.2,500,29,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96755.png
VS-E5PH6006LHN3,Enlarge,600,60,1.2,500,29,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96764.png
VS-E5PH6012L-N3,Enlarge,1200,60,1.7,460,38,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96502.png
VS-E5PH6012LHN3,Enlarge,1200,60,1.7,425,38,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96766.png
VS-E5PH7506L-N3,Enlarge,600,75,1.2,615,32,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96756.png
VS-E5PH7506LHN3,Enlarge,600,75,1.2,615,32,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96819.png
VS-E5PH7512L-N3,Enlarge,1200,75,1.85,470,40,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96885.png
VS-E5PW3006L-N3,Enlarge,600,30,1.6,280,20,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/97048.png
VS-E5PW3006LHN3,Enlarge,600,30,1.6,280,20,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96959.png
VS-E5PW6006L-N3,Enlarge,600,60,1.7,450,24,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/97049.png
VS-E5PW6006LHN3,Enlarge,600,60,1.7,450,24,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96961.png
VS-E5PX3006L-N3,Enlarge,600,30,1.3,310,22,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96757.png
VS-E5PX3006LHN3,Enlarge,600,30,1.3,310,22,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96810.png
VS-E5PX3012L-N3,Enlarge,1200,30,2.1,210,26,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96442.png
VS-E5PX3012LHN3,Enlarge,1200,30,2.1,190,26,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96767.png
VS-E5PX6006L-N3,Enlarge,600,60,1.4,480,26,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96758.png
VS-E5PX6006LHN3,Enlarge,600,60,1.4,480,26,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96821.png
VS-E5PX6012L-N3,Enlarge,1200,60,2.1,420,30,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96479.png
VS-E5PX6012LHN3,Enlarge,1200,60,2.1,370,30,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96768.png
VS-E5PX7506L-N3,Enlarge,600,75,1.4,565,29,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96759.png
VS-E5PX7506LHN3,Enlarge,600,75,1.4,565,29,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/96820.png
VS-E5PX7512L-N3,Enlarge,1200,75,2.3,395,32,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96889.png
VS-E5PX7606L-N3,Enlarge,600,75,1.5,480,26,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96884.png
VS-E5TH0812-M3,Enlarge,1200,8,1.8,65,33,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96606.png
VS-E5TH0812THN3,Enlarge,1200,8,1.8,65,33,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96740.png
VS-E5TH1506-M3,Enlarge,600,15,1.15,200,22,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96751.png
VS-E5TH1506S2L-M3,Enlarge,600,15,1.15,200,22,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97020.png
VS-E5TH1506S2LHM3,Enlarge,600,15,1.15,200,22,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96811.png
VS-E5TH1506THN3,Enlarge,600,15,1.15,200,22,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96824.png
VS-E5TH1512-M3,Enlarge,1200,15,1.7,125,37,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96581.png
VS-E5TH1512S2L-M3,Enlarge,1200,15,1.7,125,37,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97021.png
VS-E5TH1512S2LHM3,Enlarge,1200,15,1.7,125,37,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96808.png
VS-E5TH1512THN3,Enlarge,1200,15,1.7,125,37,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96742.png
VS-E5TH2106S2L-M3,Enlarge,600,20,1.23,200,22,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97022.png
VS-E5TH2106S2LHM3,Enlarge,600,20,1.23,200,22,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96913.png
VS-E5TH2112S2L-M3,Enlarge,1200,20,1.88,125,37,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97023.png
VS-E5TH2112S2LHM3,Enlarge,1200,20,1.88,125,37,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96935.png
VS-E5TH3006-M3,Enlarge,600,30,1.15,330,25,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96753.png
VS-E5TH3006S2L-M3,Enlarge,600,30,1.15,330,25,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97024.png
VS-E5TH3006S2LHM3,Enlarge,600,30,1.15,330,25,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96837.png
VS-E5TH3006THN3,Enlarge,600,30,1.15,330,25,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96825.png
VS-E5TH3012-M3,Enlarge,1200,30,1.7,240,32,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96611.png
VS-E5TH3012S2L-M3,Enlarge,1200,30,1.7,240,32,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/96998.png
VS-E5TH3012S2LHM3,Enlarge,1200,30,1.7,240,32,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96809.png
VS-E5TH3012THN3,Enlarge,1200,30,1.7,240,32,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96744.png
VS-E5TW1206FP-N3,Enlarge,600,12,1.75,110,16,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96976.png
VS-E5TW1506FP-N3,Enlarge,600,15,1.5,175,17,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96972.png
VS-E5TX0812-M3,Enlarge,1200,8,2.1,60,27,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96607.png
VS-E5TX0812THN3,Enlarge,1200,8,2.1,60,27,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96739.png
VS-E5TX1206FP-N3,Enlarge,600,12,1.36,155,17,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96974.png
VS-E5TX1506-M3,Enlarge,600,15,1.3,185,19,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96752.png
VS-E5TX1506FP-N3,Enlarge,600,15,1.3,205,19,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96969.png
VS-E5TX1506S2L-M3,Enlarge,600,15,1.3,185,19,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97025.png
VS-E5TX1506S2LHM3,Enlarge,600,15,1.3,185,19,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96814.png
VS-E5TX1506THN3,Enlarge,600,15,1.3,185,19,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96826.png
VS-E5TX1512-M3,Enlarge,1200,15,2.1,110,29,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96608.png
VS-E5TX1512S2L-M3,Enlarge,1200,15,2.1,110,29,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97026.png
VS-E5TX1512S2LHM3,Enlarge,1200,15,2.1,110,29,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96812.png
VS-E5TX1512THN3,Enlarge,1200,15,2.1,110,29,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96741.png
VS-E5TX2106S2L-M3,Enlarge,600,20,1.40,185,19,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97027.png
VS-E5TX2106S2LHM3,Enlarge,600,20,1.40,185,19,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96914.png
VS-E5TX2112S2L-M3,Enlarge,1200,20,2.40,110,29,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97028.png
VS-E5TX2112S2LHM3,Enlarge,1200,20,2.40,110,29,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96936.png
VS-E5TX3006-M3,Enlarge,600,30,1.3,310,22,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96754.png
VS-E5TX3006S2L-M3,Enlarge,600,30,1.3,310,22,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/97029.png
VS-E5TX3006S2LHM3,Enlarge,600,30,1.3,310,22,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96838.png
VS-E5TX3006THN3,Enlarge,600,30,1.3,310,22,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96827.png
VS-E5TX3012-M3,Enlarge,1200,30,2.1,190,26,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96612.png
VS-E5TX3012S2L-M3,Enlarge,1200,30,2.1,190,26,175,D2PAK 2L (TO-263AB 2L),Single,No,image/diodes/ultrafast-recovery/96999.png
VS-E5TX3012S2LHM3,Enlarge,1200,30,2.1,190,26,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96813.png
VS-E5TX3012THN3,Enlarge,1200,30,2.1,190,26,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96743.png
VS-E7FX0112-M3,Enlarge,1200,1,1.45,14,50,175,SMF (DO-219AB),Single,No,image/diodes/ultrafast-recovery/97163.png
VS-E7FX0112HM3,Enlarge,1200,1,1.45,14,50,175,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/97081.png
VS-E7FX0212-M3,Enlarge,1200,2,1.60,21,45,175,SMF (DO-219AB),Single,No,image/diodes/ultrafast-recovery/97162.png
VS-E7FX0212HM3,Enlarge,1200,2,1.60,21,45,175,SMF (DO-219AB),Single,Yes,image/diodes/ultrafast-recovery/97115.png
VS-E7MH0112-M3,Enlarge,1200,1,1.10,21,75,175,SMA (DO-214AC),Single,No,image/diodes/ultrafast-recovery/96673.png
VS-E7MH0112HM3,Enlarge,1200,1,1.10,21,75,175,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/96892.png
VS-E7MX0112-M3,Enlarge,1200,1,1.33,21,45,175,SMA (DO-214AC),Single,No,image/diodes/ultrafast-recovery/97267.png
VS-E7MX0112HM3,Enlarge,1200,1,1.33,21,45,175,SMA (DO-214AC),Single,Yes,image/diodes/ultrafast-recovery/97145.png
VS-EBU15006-N4,Enlarge,600,150,1.08,1200,50,175,PowerTab®,Single,No,image/diodes/ultrafast-recovery/97196.png
VS-EBU15006HN4,Enlarge,600,150,1.08,1200,50,175,PowerTab®,Single,Yes,image/diodes/ultrafast-recovery/97197.png
VS-EBU8006HN4,Enlarge,600,80,1.53,750,46,175,PowerTab®,Single die,Yes,image/diodes/ultrafast-recovery/97207.png
VS-EPH3006-N3,Enlarge,600,30,1.4,220,27,175,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/93571.png
VS-EPH3006HN3,Enlarge,600,30,2.65,220,27,175,TO-247AC modified (2 pins),Single die,Yes,image/diodes/ultrafast-recovery/94867.png
VS-EPH3006L-N3,Enlarge,600,30,1.4,240,26,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/95780.png
VS-EPH3006LHN3,Enlarge,600,30,1.4,240,26,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/95781.png
VS-EPH3007L-N3,Enlarge,650,30,1.4,195,33,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96447.png
VS-EPH6007L-N3,Enlarge,650,60,1.4,520,65,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96451.png
VS-EPU3006-N3,Enlarge,600,30,1.15,220,30,175,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/93570.png
VS-EPU3006HN3,Enlarge,600,30,1.15,220,30,175,TO-247AC modified (2 pins),Single die,Yes,image/diodes/ultrafast-recovery/94818.png
VS-EPU3006L-N3,Enlarge,600,30,1.15,250,30,175,TO-247AD 2L,Single die,No,image/diodes/ultrafast-recovery/95947.png
VS-EPU3006LHN3,Enlarge,600,30,1.15,250,30,175,TO-247AD 2L,Single die,Yes,image/diodes/ultrafast-recovery/95952.png
VS-EPU6006-N3,Enlarge,600,60,1.05,600,32,175,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94794.png
VS-EPU6006L-N3,Enlarge,600,60,1.05,600,32,175,TO-247AD 2L,Single die,No,image/diodes/ultrafast-recovery/95944.png
VS-EPU6006LHN3,Enlarge,600,60,1.05,600,32,175,TO-247AD 2L,Single,Yes,image/diodes/ultrafast-recovery/95957.png
VS-EPX3007L-N3,Enlarge,650,30,1.6,170,27,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96449.png
VS-EPX6007L-N3,Enlarge,650,60,1.6,500,40,175,TO-247AD 2L,Single,No,image/diodes/ultrafast-recovery/96452.png
VS-ETH0806-M3,Enlarge,600,8,1.3,80,16,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96629.png
VS-ETH0806FP-M3,Enlarge,600,8,1.3,80,16,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/93515.png
VS-ETH1506-1-M3,Enlarge,600,15,1.25,160,21,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96331.png
VS-ETH1506-1HM3,Enlarge,600,15,1.25,160,21,175,TO-262AA,Single,Yes,image/diodes/ultrafast-recovery/94482.png
VS-ETH1506-M3,Enlarge,600,15,1.25,160,21,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96630.png
VS-ETH1506FP-M3,Enlarge,600,15,1.25,160,21,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/93522.png
VS-ETH1506S-M3,Enlarge,600,15,1.25,160,21,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96331.png
VS-ETH1506SHM3,Enlarge,600,15,1.25,160,21,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/94482.png
VS-ETH3006-1-M3,Enlarge,600,30,1.4,180,27,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96332.png
VS-ETH3006-1HM3,Enlarge,600,30,1.4,180,27,175,TO-262AA,Single,Yes,image/diodes/ultrafast-recovery/94425.png
VS-ETH3006-M3,Enlarge,600,30,1.4,180,27,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96631.png
VS-ETH3006FP-M3,Enlarge,600,30,1.4,180,27,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/93523.png
VS-ETH3006S-M3,Enlarge,600,30,1.4,180,27,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96332.png
VS-ETH3006SHM3,Enlarge,600,30,1.4,180,27,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/94425.png
VS-ETH3007-M3,Enlarge,650,30,1.4,210,33,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96063.png
VS-ETH3007THN3,Enlarge,650,30,1.4,210,33,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96064.png
VS-ETH3106FP-N3,Enlarge,600,30,1.40,280,22,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/96786.png
VS-ETL0806-M3,Enlarge,600,8,0.84,120,65,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96632.png
VS-ETL0806FP-M3,Enlarge,600,8,0.84,120,65,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/93528.png
VS-ETL1506-1-M3,Enlarge,600,15,0.85,200,60,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96333.png
VS-ETL1506-1HM3,Enlarge,600,15,0.85,200,60,175,TO-262AA,Single,Yes,image/diodes/ultrafast-recovery/95868.png
VS-ETL1506-M3,Enlarge,600,15,0.85,200,60,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96633.png
VS-ETL1506FP-M3,Enlarge,600,15,0.85,200,60,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/93531.png
VS-ETL1506S-M3,Enlarge,600,15,0.85,200,60,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96333.png
VS-ETL1506SHM3,Enlarge,600,15,0.85,200,60,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/95868.png
VS-ETL3006S2LHM3,Enlarge,600,30,0.9,280,110,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96872.png
VS-ETU0805-M3,Enlarge,500,8,0.9,110,28,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96634.png
VS-ETU0805FP-M3,Enlarge,500,8,0.9,110,28,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/94813.png
VS-ETU1506-1-M3,Enlarge,600,15,1.1,160,24,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96334.png
VS-ETU1506-1HM3,Enlarge,600,15,1.1,160,24,175,TO-262AA,Single,Yes,image/diodes/ultrafast-recovery/95978.png
VS-ETU1506-M3,Enlarge,600,15,1.1,160,24,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96635.png
VS-ETU1506FP-M3,Enlarge,600,15,1.1,160,24,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/93534.png
VS-ETU1506S-M3,Enlarge,600,15,1.1,160,24,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96334.png
VS-ETU1506S2LHM3,Enlarge,600,15,1.1,160,24,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96850.png
VS-ETU1506SHM3,Enlarge,600,15,1.1,160,24,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/95978.png
VS-ETU2006S2LHM3,Enlarge,600,20,1.2,180,see datasheet,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96788.png
VS-ETU3006-1-M3,Enlarge,600,30,1.15,200,30,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96340.png
VS-ETU3006-1HM3,Enlarge,600,30,1.15,200,30,175,TO-262AA,Single,Yes,image/diodes/ultrafast-recovery/94702.png
VS-ETU3006-M3,Enlarge,600,30,1.15,200,30,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96636.png
VS-ETU3006FP-M3,Enlarge,600,30,1.15,200,30,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/93538.png
VS-ETU3006S-M3,Enlarge,600,30,1.15,200,30,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96340.png
VS-ETU3006S2LHM3,Enlarge,600,30,1.15,200,30,175,D2PAK 2L (TO-263AB 2L),Single,Yes,image/diodes/ultrafast-recovery/96851.png
VS-ETU3006SHM3,Enlarge,600,30,1.15,200,30,175,D2PAK (TO-263AB),Single,Yes,image/diodes/ultrafast-recovery/94702.png
VS-ETX0806-M3,Enlarge,600,8,1.5,80,14,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96637.png
VS-ETX0806FP-M3,Enlarge,600,8,1.5,80,14,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/93546.png
VS-ETX1506-1-M3,Enlarge,600,15,1.55,120,18,175,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96341.png
VS-ETX1506-M3,Enlarge,600,15,1.55,120,18,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96638.png
VS-ETX1506FP-M3,Enlarge,600,15,1.55,120,18,175,TO-220 FullPAK 2L,Single,No,image/diodes/ultrafast-recovery/93549.png
VS-ETX1506S-M3,Enlarge,600,15,1.55,120,18,175,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96341.png
VS-ETX3007-M3,Enlarge,650,30,1.6,210,27,175,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96065.png
VS-ETX3007THN3,Enlarge,650,30,1.6,210,27,175,TO-220AC 2L,Single,Yes,image/diodes/ultrafast-recovery/96066.png
VS-HFA04SD60S-M3,Enlarge,600,4,1.4,25,17,150,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93473.png
VS-HFA04SD60SHM3,Enlarge,600,4,1.4,25,17,150,DPAK (TO-252AA),Single,Yes,image/diodes/ultrafast-recovery/94756.png
VS-HFA04TB60-M3,Enlarge,600,4,1.4,25,17,150,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96187.png
VS-HFA04TB60S-M3,Enlarge,600,4,1.4,25,17,150,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96215.png
VS-HFA06PB120-N3,Enlarge,1200,6,2.4,80,26,150,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94037.png
VS-HFA06TB120-M3,Enlarge,1200,6,3.0,80,26,150,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96188.png
VS-HFA06TB120S-M3,Enlarge,1200,6,2.4,80,26,150,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96216.png
VS-HFA08PB120-N3,Enlarge,1200,8,2.4,130,28,150,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94040.png
VS-HFA08PB60-N3,Enlarge,600,8,1.4,60,18,150,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94041.png
VS-HFA08SD60S-M3,Enlarge,600,8,1.4,60,18,150,DPAK (TO-252AA),Single,No,image/diodes/ultrafast-recovery/93474.png
VS-HFA08TA60C-M3,Enlarge,600,2 x 4,1.4,25,17,150,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96202.png
VS-HFA08TA60CS-M3,Enlarge,600,8,2.2,25,17,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96217.png
VS-HFA08TB120-M3,Enlarge,1200,8,2.4,130,28,150,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96189.png
VS-HFA08TB120HN3,Enlarge,1200,8,2.4,130,28,150,TO-220AC,Single die,Yes,image/diodes/ultrafast-recovery/94718.png
VS-HFA08TB120S-M3,Enlarge,1200,8,2.4,130,28,150,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96218.png
VS-HFA08TB60-M3,Enlarge,600,8,1.4,60,18,150,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96190.png
VS-HFA08TB60HN3,Enlarge,600,8,1.4,60,18,150,TO-220AC,Single die,Yes,image/diodes/ultrafast-recovery/94970.png
VS-HFA08TB60S-M3,Enlarge,600,8,1.4,60,18,150,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96219.png
VS-HFA12PA120C-N3,Enlarge,1200,2 x 6,2.4,80,26,150,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94597.png
VS-HFA15PB60-N3,Enlarge,600,15,1.2,150,19,150,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94052.png
VS-HFA15TB60-1-M3,Enlarge,600,15,1.2,150,23,150,TO-262AA,Single,No,image/diodes/ultrafast-recovery/96313.png
VS-HFA15TB60-M3,Enlarge,600,15,1.2,150,23,150,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96191.png
VS-HFA15TB60S-M3,Enlarge,600,15,1.2,150,23,150,D2PAK (TO-263AB),Single,No,image/diodes/ultrafast-recovery/96313.png
VS-HFA16PA120C-N3,Enlarge,1200,2 x 8,2.4,130,28,150,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94055.png
VS-HFA16PA60C-N3,Enlarge,600,2 x 8,1.4,60,18,150,TO-247AC 3L,Common cathode,No,image/diodes/ultrafast-recovery/94056.png
VS-HFA16PB120-N3,Enlarge,1200,16,2.3,190,30,150,TO-247AC 2L,Single,No,image/diodes/ultrafast-recovery/94057.png
VS-HFA16PB120HN3,Enlarge,1200,16,2.3,190,30,150,TO-247AC modified (2 pins),Single,Yes,image/diodes/ultrafast-recovery/94717.png
VS-HFA16TA60C-M3,Enlarge,600,2 x 8,1.4,60,18,150,TO-220AB 3L,Common cathode,No,image/diodes/ultrafast-recovery/96203.png
VS-HFA16TA60CS-M3,Enlarge,600,2 x 8,1.4,60,18,150,D2PAK (TO-263AB),Common cathode,No,image/diodes/ultrafast-recovery/96220.png
VS-HFA16TB120-M3,Enlarge,1200,16,2.3,190,30,150,TO-220AC 2L,Single,No,image/diodes/ultrafast-recovery/96192.png
