Part Number▲▼,Product Image,IF(AV)(A)▲▼,VFat IF(V at A)▲▼,IFSM(A)▲▼,Rev. Voltage(V)▲▼,TJmax.(°C)▲▼,Package (JEDEC®) Code▲▼,Circuit Configuration▲▼,Image path
GSIB2080N,Enlarge,20,1.0,240,200,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2080N,Enlarge,20,1.0,240,800,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2080N,Enlarge,20,1.0,240,400,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2080N,Enlarge,20,1.0,240,600,150,GSIB-5S,In-line,image/diodes/bridge/89388.png
GSIB2520,Enlarge,25,1.0,350,600,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2520,Enlarge,25,1.0,350,200,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2520,Enlarge,25,1.0,350,800,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2520,Enlarge,25,1.0,350,400,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2520N,Enlarge,25,1.0,350,200,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2520N,Enlarge,25,1.0,350,800,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2520N,Enlarge,25,1.0,350,400,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2520N,Enlarge,25,1.0,350,600,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2540,Enlarge,25,1.0,350,200,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2540,Enlarge,25,1.0,350,800,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2540,Enlarge,25,1.0,350,400,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2540,Enlarge,25,1.0,350,600,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2540N,Enlarge,25,1.0,350,600,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2540N,Enlarge,25,1.0,350,200,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2540N,Enlarge,25,1.0,350,800,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2540N,Enlarge,25,1.0,350,400,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2560,Enlarge,25,1.0,350,600,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2560,Enlarge,25,1.0,350,200,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2560,Enlarge,25,1.0,350,800,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2560,Enlarge,25,1.0,350,400,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2560N,Enlarge,25,1.0,350,200,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2560N,Enlarge,25,1.0,350,800,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2560N,Enlarge,25,1.0,350,400,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2560N,Enlarge,25,1.0,350,600,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2580,Enlarge,25,1.0,350,400,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2580,Enlarge,25,1.0,350,600,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2580,Enlarge,25,1.0,350,200,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2580,Enlarge,25,1.0,350,800,150,GSIB-5S,In-line,image/diodes/bridge/88646.png
GSIB2580N,Enlarge,25,1.0,350,600,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
GSIB2580N,Enlarge,25,1.0,350,200,150,GSIB-5S,In-line,image/diodes/bridge/89389.png
