Series▲▼,Product Image,Part Number▲▼,VzMin.(V)▲▼,VzMax.(V)▲▼,VzNom.(V)▲▼,Izt(mA)▲▼,Ptot(mW)▲▼,Package (JEDEC®) Code▲▼,VzSpecification▲▼,AEC-Q101Qualified▲▼,Image path
AZ23 Series,Enlarge,AZ23C3V0,2.2,75,3,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C3V3,2.2,75,3.3,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C3V6,2.2,75,3.6,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C3V9,2.2,75,3.9,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C4V3,2.2,75,4.3,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C4V7,2.2,75,4.7,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C5V1,2.2,75,5.1,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C5V6,2.2,75,5.6,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C6V2,2.2,75,6.2,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C6V8,2.2,75,6.8,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C7V5,2.2,75,7.5,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C8V2,2.2,75,8.2,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C9V1,2.2,75,9.1,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C10,2.2,75,10,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C11,2.2,75,11,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C12,2.2,75,12,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C13,2.2,75,13,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C15,2.2,75,15,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C16,2.2,75,16,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C18,2.2,75,18,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C20,2.2,75,20,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C22,2.2,75,22,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C24,2.2,75,24,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C27,2.2,75,27,2,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C30,2.2,75,30,2,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C33,2.2,75,33,2,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C36,2.2,75,36,2,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23C39,2.2,75,39,2,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
