Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage (V)▲▼;Form▲▼;Case Size▲▼;Temp Max (°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
196 HVC ENYCAP™;Enlarge;MAL219690106E3;90000000;1.4;Cell;35x25x5;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form G""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691215E3;15000000;7;Cell;Ø12.0x12.5;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691241E3;15000000;1.4;Cell;Ø12.0x2.5;+85 °C;1000;"""SMD, Button Cell, Flat, One Cell, keyed polarity, Form D2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690103E3;90000000;2.8;Cell;35x25x7.5;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form G""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691265E3;15000000;7;Cell;14.5x60.0x2.5;+85 °C;1000;"""Button Cell, Connector, Flat, Form F""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691211E3;15000000;1.4;Cell;Ø12.0x2.5;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690113E3;90000000;2.8;Cell;35x25x7.5;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Vertical, keyed polarity, Form H""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691206E3;15000000;8.4;Cell;Ø12.0x15.0;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691221E3;15000000;1.4;Cell;Ø12.0x2.5;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690101E3;90000000;4.2;Cell;35x25x10;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form G""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691216E3;15000000;8.4;Cell;Ø12.0x15.0;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691261E3;15000000;1.4;Cell;14.5x12.0x2.5;+85 °C;1000;"""Button Cell, Connector, Flat, Form F""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690111E3;90000000;4.2;Cell;35x25x10;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Vertical, keyed polarity, Form H""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691226E3;15000000;8.4;Cell;Ø12.0x15.0;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691252E3;15000000;2.8;Cell;12.0x24.0x2.5;+85 °C;1000;"""SMD,Button Cell,  Flat, Two Cells, Form E2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690102E3;90000000;5.6;Cell;35x25x15;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form G""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691266E3;15000000;8.4;Cell;14.5x72.0x2.5;+85 °C;1000;"""Button Cell, Connector, Flat, Form F""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691212E3;15000000;2.8;Cell;Ø12.0x5.0;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690112E3;90000000;5.6;Cell;35x25x15;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Vertical, keyed polarity, Form H""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691101E3;4000000;1.4;Cell;Ø7.0x2.5;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690107E3;90000000;7;Cell;35x25x17.5;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form G""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691121E3;4000000;1.4;Cell;Ø7.0x2.5;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690117E3;90000000;7;Cell;35x25x17.5;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Vertical, keyed polarity, Form H""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691141E3;4000000;1.4;Cell;Ø7.0x2.5;+70 °C;1000;"""SMD, Button Cell, Flat, One Cell, keyed polarity, Form D1""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219690118E3;90000000;8.4;Cell;35x25x20;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Vertical, keyed polarity, Form H""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691111E3;4000000;1.4;Cell;Ø7.0x2.5;+70 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
