Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage(V)▲▼;Form▲▼;Case Size▲▼;Temp Max(°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
021 ASM;Enlarge;MAL202145682E3;6800;16;Axial;Ø18x38;+85 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202129331E3;330;100;Axial;Ø15x30;+85 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202144103E3;10000;10;Axial;Ø18x38;+85 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202190541E3;47;63;Axial;Ø8x11;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202118152E3;1500;63;Axial;Ø18x38;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202139689E3;68;100;Axial;Ø10x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202190512E3;220;63;Axial;Ø10x25;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202126101E3;100;25;Axial;Ø6x10;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202116682E3;6800;25;Axial;Ø21x38;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202149331E3;330;100;Axial;Ø15x30;+85 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
